Light Intensity (% of scale max) Run #2,Position (m) Run #2,Light Intensity (% of scale max) Run #6,Position (m) Run #6,Light Intensity (% of scale max) Run #7,Position (m) Run #7,Light Intensity (% of scale max) Run #8,Position (m) Run #8,Light Intensity (% of scale max) Run #9,Position (m) Run #9
0.4,0.0462,0.4,0.0311,0.4,0.0365,0.3,0.0365,0.1,0.0374
0.4,0.0468,0.4,0.0313,0.4,0.0365,0.3,0.0366,0.1,0.0374
0.4,0.0471,0.4,0.0315,0.4,0.0365,0.3,0.0366,0.1,0.0377
0.5,0.0478,0.4,0.0321,0.4,0.0365,0.3,0.0367,0.1,0.038
0.6,0.0486,0.4,0.0329,0.4,0.0365,0.3,0.0368,0.1,0.0384
0.7,0.0496,0.4,0.0337,0.4,0.0365,0.3,0.0368,0.1,0.0406
0.7,0.0501,0.4,0.0344,0.4,0.0365,0.3,0.0368,0.1,0.041
0.7,0.0508,0.4,0.0347,0.4,0.0365,0.3,0.0368,0.1,0.0411
0.7,0.0515,0.4,0.0347,0.4,0.0365,0.3,0.0368,0.1,0.0411
0.6,0.0522,0.4,0.0347,0.4,0.0365,0.3,0.037,0.1,0.0414
0.5,0.0529,0.4,0.0347,0.4,0.0367,0.3,0.0372,0.1,0.0415
0.5,0.0535,0.4,0.035,0.4,0.0367,0.3,0.0372,0.1,0.0424
0.4,0.0539,0.4,0.0354,0.4,0.0369,0.3,0.0372,0.1,0.0426
0.4,0.0543,0.4,0.0357,0.4,0.0371,0.3,0.0373,0.1,0.044
0.4,0.0548,0.4,0.0358,0.4,0.0373,0.3,0.0373,0.1,0.0442
0.4,0.0549,0.4,0.0358,0.4,0.0373,0.3,0.0374,0.1,0.0456
0.4,0.0555,0.4,0.0362,0.4,0.0373,0.3,0.0374,0.1,0.0459
0.5,0.0561,0.4,0.0366,0.4,0.0374,0.3,0.0374,0.1,0.0465
0.6,0.0571,0.4,0.0367,0.4,0.0375,0.3,0.0375,0.1,0.0466
0.7,0.0574,0.4,0.0367,0.4,0.0376,0.3,0.0375,0.1,0.0476
0.8,0.0579,0.4,0.0368,0.4,0.0376,0.3,0.0375,0.1,0.0478
0.8,0.0581,0.4,0.0369,0.4,0.0376,0.3,0.0375,0.1,0.0493
