Light Intensity (% of scale max) Run #2,Position (m) Run #2,Light Intensity (% of scale max) Run #11,Position (m) Run #11,Light Intensity (% of scale max) Run #12,Position (m) Run #12,Light Intensity (% of scale max) Run #13,Position (m) Run #13,Light Intensity (% of scale max) Run #14,Position (m) Run #14
1.8,0.0768,0.4,0.0534,0.4,0.0621,0.4,0.0704,0.4,0.0721
2.1,0.0771,0.4,0.0538,0.4,0.0624,0.4,0.0708,0.4,0.0728
2,0.0782,0.4,0.0546,0.4,0.0624,0.4,0.0717,0.4,0.0732
1.8,0.079,0.4,0.0549,0.4,0.0624,0.4,0.0719,0.4,0.0739
0.8,0.0803,0.4,0.0554,0.4,0.0624,0.4,0.0721,0.4,0.0743
0.7,0.0805,0.4,0.0558,0.4,0.0624,0.4,0.0722,0.4,0.0745
0.6,0.0816,0.4,0.0561,0.4,0.0625,0.4,0.0728,0.4,0.0746
1.2,0.082,0.4,0.0566,0.4,0.0625,0.4,0.0732,0.4,0.0746
2.1,0.0829,0.4,0.0571,0.4,0.0625,0.4,0.0738,0.4,0.0747
2.4,0.0833,0.4,0.0575,0.4,0.0625,0.4,0.0739,0.4,0.0749
4.2,0.084,0.4,0.0581,0.4,0.0625,0.4,0.0742,0.4,0.075
4.8,0.0844,0.4,0.0585,0.4,0.0627,0.4,0.0744,0.4,0.0756
5.9,0.0849,0.4,0.059,0.4,0.0627,0.4,0.0746,0.4,0.0757
6.4,0.0856,0.4,0.0594,0.4,0.0627,0.4,0.075,0.4,0.0759
6.5,0.0864,0.4,0.0599,0.4,0.0627,0.4,0.0756,0.4,0.0762
6,0.0868,0.4,0.06,0.4,0.0627,0.4,0.0757,0.4,0.0767
5.8,0.0869,0.4,0.0603,0.4,0.0626,0.4,0.0758,0.4,0.0768
5.1,0.0873,0.4,0.0605,0.4,0.0626,0.4,0.0758,0.4,0.0772
4.9,0.0875,0.4,0.0605,0.4,0.0626,0.4,0.0764,0.4,0.0778
4.4,0.0877,0.4,0.0605,0.4,0.0626,0.4,0.0769,0.5,0.0785
3.8,0.0879,0.4,0.0609,0.4,0.0626,0.4,0.0773,0.5,0.0786
2.8,0.0885,0.4,0.0615,0.4,0.0626,0.4,0.0775,0.5,0.0789
2.3,0.089,0.4,0.0618,0.4,0.0626,0.4,0.0781,0.5,0.0792
0.8,0.0898,0.4,0.0619,0.4,0.0626,0.4,0.0784,0.5,0.0798
0.9,0.0904,0.4,0.0622,0.4,0.0626,0.4,0.0789,0.5,0.0805
1.2,0.0909,0.4,0.0627,0.4,0.0626,0.4,0.0789,0.5,0.0807
2.6,0.0913,0.4,0.0631,0.4,0.0626,0.4,0.0789,0.5,0.0814
3.5,0.0918,0.4,0.0641,0.4,0.0626,0.4,0.0793,0.5,0.0817
6,0.0925,0.4,0.0644,0.4,0.0626,0.5,0.0798,0.5,0.0823
7.1,0.093,0.4,0.0644,0.4,0.0626,0.5,0.08,0.5,0.0824
8.7,0.0939,0.4,0.0645,0.4,0.0626,0.5,0.0801,0.6,0.0828
